topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
SW,37988,645796,34,30,38,0.6661,0.0009,0.28758103,5.557861491,0.6854,-0.0018,31,18,39,0.1068,17847,0.4698,163,0.4466,29.1774,105.3471
SW,37988,227928,12,9,16,0.2395,0.0003,0.181869832,10.4564146,0.6434,-0.0009,10,7,97,0.2658,10203,0.2686,225,0.6164,4.4083,64.0117
SW,37988,113964,6,3,8,0.1196,0.0002,0.111512977,22.41814703,0.566,0.0041,4,4,249,0.6822,3611,0.0951,522,1.4301,1.7072,52.1205
SW,37988,683784,36,31,40,0.7186,0.0009,0.293382808,5.420758109,0.6862,0.0004,33,19,38,0.1041,18337,0.4827,161,0.4411,33.3378,115.5442
SW,37988,759760,40,35,45,0.8078,0.0011,0.304077268,5.186455876,0.6882,0,37,21,35,0.0959,18504,0.4871,158,0.4329,43.5419,125.2893
SW,37988,721772,38,34,43,0.7601,0.001,0.29887082,5.297681105,0.6874,0.0002,34,20,37,0.1014,18220,0.4796,162,0.4438,35.2599,115.6068
SW,37988,607808,32,28,36,0.6236,0.0008,0.28142742,5.711749821,0.6839,-0.0007,29,17,42,0.1151,17577,0.4627,159,0.4356,28.8577,103.9809
SW,37988,455856,24,20,28,0.481,0.0006,0.252226687,6.586058393,0.6758,-0.0006,21,13,50,0.137,16310,0.4293,174,0.4767,15.3803,86.5481
SW,37988,303904,16,12,19,0.3225,0.0004,0.211070565,8.418066472,0.6597,0.0009,13,9,73,0.2,13011,0.3425,200,0.5479,7.7795,79.5916
SW,37988,189940,10,7,14,0.2027,0.0003,0.163363558,12.29342695,0.6286,-0.0039,8,6,116,0.3178,8814,0.232,249,0.6822,3.4885,63.1598
SW,37988,265916,14,11,18,0.278,0.0004,0.197516663,9.261091351,0.6526,0.0019,12,8,84,0.2301,11507,0.3029,205,0.5616,5.9453,69.506
SW,33767,472738,28,23,33,0.5691,0.0008,0.271114892,5.991249349,0.6798,0,25,15,44,0.1205,15169,0.4492,168,0.4603,17.93,83.0418
SW,33767,303903,18,15,21,0.3586,0.0005,0.225724655,7.659845437,0.6651,-0.0015,15,10,62,0.1699,12108,0.3586,179,0.4904,8.7008,67.3977
SW,33767,135068,8,5,11,0.157,0.0002,0.142416401,15.20266716,0.6072,0.0006,6,5,148,0.4055,5611,0.1662,306,0.8384,2.2179,49.3773
SW,33767,371437,22,19,25,0.4426,0.0007,0.2463399,6.797370305,0.6729,-0.0034,19,12,53,0.1452,13515,0.4002,172,0.4712,11.6828,72.5897
SW,33767,438971,26,22,30,0.5244,0.0008,0.263501653,6.216985673,0.6773,-0.0007,23,14,46,0.126,14494,0.4292,168,0.4603,16.4312,95.4086
SW,33767,506505,30,26,35,0.589,0.0009,0.278202649,5.796118239,0.6827,-0.0016,26,16,43,0.1178,15408,0.4563,160,0.4384,22.9932,98.4604
SW,33767,337670,20,17,23,0.3974,0.0006,0.236548522,7.181257596,0.6696,-0.0006,17,11,59,0.1616,13131,0.3889,179,0.4904,11.2729,78.9886
SW,33767,574039,34,30,39,0.6841,0.001,0.291060873,5.474736879,0.6848,0.0003,30,18,39,0.1068,15816,0.4684,161,0.4411,28.7035,105.7626
SW,33767,202602,12,9,16,0.2379,0.0004,0.184070528,10.27123956,0.6432,-0.0021,10,7,94,0.2575,9482,0.2808,214,0.5863,4.7194,60.7657
SW,33767,101301,6,3,8,0.1199,0.0002,0.112862327,21.99052271,0.5668,0.0015,4,4,256,0.7014,2924,0.0866,568,1.5562,1.5071,50.848
SW,33767,607806,36,32,41,0.7227,0.0011,0.296932855,5.340437894,0.686,-0.002,32,19,36,0.0986,16184,0.4793,154,0.4219,32.8743,106.0745
SW,33767,675340,40,35,44,0.7901,0.0012,0.307756722,5.110912556,0.6884,-0.0003,36,21,35,0.0959,16501,0.4887,153,0.4192,38.9059,112.8424
SW,33767,641573,38,33,42,0.7685,0.0011,0.302487274,5.219872733,0.6872,-0.0002,34,20,37,0.1014,16262,0.4816,158,0.4329,35.6483,110.5295
SW,33767,540272,32,28,37,0.6358,0.0009,0.284832802,5.625470143,0.6835,0.0001,29,17,41,0.1123,15544,0.4603,160,0.4384,26.2413,103.8589
SW,33767,405204,24,20,28,0.4739,0.0007,0.255278728,6.481733627,0.6764,0.0009,21,13,50,0.137,14436,0.4275,171,0.4685,15.6938,83.2361
SW,33767,270136,16,12,19,0.3181,0.0005,0.213624601,8.275544273,0.6599,0.0003,14,9,71,0.1945,11754,0.3481,192,0.526,7.6633,71.3935
SW,33767,168835,10,7,13,0.2,0.0003,0.165340321,12.06996002,0.629,0.0058,8,6,122,0.3342,7320,0.2168,249,0.6822,3.2629,57.7486
SW,33767,236369,14,10,17,0.2826,0.0004,0.199906692,9.100924587,0.652,-0.0031,12,8,76,0.2082,10512,0.3113,196,0.537,6.0917,65.1474
