topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
R,189640,1137840,12,1,30,11.9679,0.0001,0.156352601,4.899465972,0.0001,-0.0002,8,3,39,0.1068,92622,0.4884,187,0.5123,12.5068,331.1665
R,189640,1611940,17,2,39,16.8832,0.0001,0.186746556,4.336770604,0.0001,0.0007,12,3,32,0.0877,98151,0.5176,176,0.4822,19.5571,398.1706
R,189640,2844600,30,8,59,30.089,0.0002,0.236310006,3.683626551,0.0002,0.0005,21,3,24,0.0658,102843,0.5423,174,0.4767,36.1062,554.3847
R,189640,2465320,26,7,52,26.1781,0.0001,0.223822734,3.824783233,0.0001,0.0004,18,3,26,0.0712,102000,0.5379,169,0.463,29.9105,509.595
R,189640,3697980,39,14,73,39.0526,0.0002,0.259204449,3.456172722,0.0002,-0.0001,29,3,22,0.0603,104075,0.5488,175,0.4795,50.1707,672.5909
R,189640,2275680,24,6,51,24.0544,0.0001,0.216838043,3.909841506,0.0001,0.0011,17,3,27,0.074,101474,0.5351,169,0.463,28.8319,472.0875
R,189640,1232660,13,1,33,12.9777,0.0001,0.163337291,4.755629174,0.0001,-0.0009,9,3,38,0.1041,93591,0.4935,184,0.5041,13.3733,341.2408
R,189640,948200,10,0,29,9.9408,0.0001,0.140442848,5.266905872,0,-0.0019,7,3,44,0.1205,88896,0.4688,190,0.5205,10.5516,306.5231
R,189640,3413520,36,11,64,36.1735,0.0002,0.252219759,3.521672531,0.0002,0.0004,26,3,23,0.063,103593,0.5463,169,0.463,45.1664,617.8133
R,184949,3421556,37,11,70,36.9726,0.0002,0.255168355,3.493630951,0.0002,0.0009,27,3,23,0.063,101086,0.5466,166,0.4548,46.7045,621.7033
R,184949,832270,9,0,24,9.0267,0,0.131536319,5.500703466,0,-0.0017,6,3,46,0.126,83719,0.4527,186,0.5096,9.2939,283.5313
R,184949,1941964,21,3,44,21.0824,0.0001,0.205635253,4.056504482,0.0001,-0.0015,15,3,29,0.0795,97729,0.5284,171,0.4685,23.2629,427.183
